Time,File,WhistleHigh
14/04/2017 04:50,AMAR030.9.20170414T045011Z.wav_chan0.xml,0
14/04/2017 05:15,AMAR030.9.20170414T051511Z.wav_chan0.xml,0
14/04/2017 05:40,AMAR030.9.20170414T054011Z.wav_chan0.xml,0
14/04/2017 06:05,AMAR030.9.20170414T060511Z.wav_chan0.xml,0
14/04/2017 06:30,AMAR030.9.20170414T063011Z.wav_chan0.xml,0
14/04/2017 06:55,AMAR030.9.20170414T065511Z.wav_chan0.xml,0
14/04/2017 07:20,AMAR030.9.20170414T072011Z.wav_chan0.xml,0
14/04/2017 07:45,AMAR030.9.20170414T074511Z.wav_chan0.xml,0
14/04/2017 08:10,AMAR030.9.20170414T081011Z.wav_chan0.xml,0
14/04/2017 08:35,AMAR030.9.20170414T083511Z.wav_chan0.xml,0
14/04/2017 09:00,AMAR030.9.20170414T090011Z.wav_chan0.xml,0
14/04/2017 09:25,AMAR030.9.20170414T092511Z.wav_chan0.xml,0
14/04/2017 09:50,AMAR030.9.20170414T095011Z.wav_chan0.xml,0
14/04/2017 10:15,AMAR030.9.20170414T101511Z.wav_chan0.xml,0
14/04/2017 10:40,AMAR030.9.20170414T104011Z.wav_chan0.xml,0
14/04/2017 11:05,AMAR030.9.20170414T110511Z.wav_chan0.xml,0
14/04/2017 11:30,AMAR030.9.20170414T113011Z.wav_chan0.xml,0
14/04/2017 11:55,AMAR030.9.20170414T115511Z.wav_chan0.xml,0
14/04/2017 12:20,AMAR030.9.20170414T122011Z.wav_chan0.xml,0
14/04/2017 12:45,AMAR030.9.20170414T124511Z.wav_chan0.xml,0
14/04/2017 13:10,AMAR030.9.20170414T131011Z.wav_chan0.xml,0
14/04/2017 13:35,AMAR030.9.20170414T133511Z.wav_chan0.xml,0
14/04/2017 14:00,AMAR030.9.20170414T140011Z.wav_chan0.xml,0
14/04/2017 14:25,AMAR030.9.20170414T142511Z.wav_chan0.xml,0
14/04/2017 14:50,AMAR030.9.20170414T145011Z.wav_chan0.xml,0
14/04/2017 15:15,AMAR030.9.20170414T151511Z.wav_chan0.xml,0
14/04/2017 15:40,AMAR030.9.20170414T154011Z.wav_chan0.xml,0
14/04/2017 16:05,AMAR030.9.20170414T160511Z.wav_chan0.xml,0
14/04/2017 16:30,AMAR030.9.20170414T163011Z.wav_chan0.xml,0
14/04/2017 16:55,AMAR030.9.20170414T165511Z.wav_chan0.xml,0
14/04/2017 17:20,AMAR030.9.20170414T172011Z.wav_chan0.xml,0
14/04/2017 17:45,AMAR030.9.20170414T174511Z.wav_chan0.xml,0
14/04/2017 18:10,AMAR030.9.20170414T181011Z.wav_chan0.xml,0
14/04/2017 18:35,AMAR030.9.20170414T183511Z.wav_chan0.xml,0
14/04/2017 19:00,AMAR030.9.20170414T190011Z.wav_chan0.xml,0
14/04/2017 19:25,AMAR030.9.20170414T192511Z.wav_chan0.xml,0
14/04/2017 19:50,AMAR030.9.20170414T195011Z.wav_chan0.xml,0
14/04/2017 20:15,AMAR030.9.20170414T201511Z.wav_chan0.xml,0
